dict_prices,dict_address,dict_sqft,dict_acres,dict_url,dict_broker
"$99,000","8065 County Road 603,Brownwood, TX 76801","1,344",1.21,https://www.realtor.com/realestateandhomes-detail/8065-County-Road-603_Brownwood_TX_76801_M85756-77912?from=srp-list-card,Brokered by Texas Realty
"$110,000","8710 County Road 215,Brownwood, TX 76801","1,444",0.26,https://www.realtor.com/realestateandhomes-detail/8710-County-Road-215_Brownwood_TX_76801_M76049-37377?from=srp-list-card,Brokered by Real Estate Shoppe
"$244,530","4111 Glenwood Dr,Brownwood, TX 76801","1,950",0.26,https://www.realtor.com/realestateandhomes-detail/4111-Glenwood-Dr_Brownwood_TX_76801_M77319-53373?from=srp-list-card,Brokered by Turnkey Realty
"$150,000","1112 Holcomb St,Brownwood, TX 76801","2,041","8,250",https://www.realtor.com/realestateandhomes-detail/1112-Holcomb-St_Brownwood_TX_76801_M83787-27407?from=srp-list-card,"Brokered by Texas Brokers Realty, Llc"
"$65,000","1612 1st St,Brownwood, TX 76801","1,972","6,882",https://www.realtor.com/realestateandhomes-detail/1612-1st-St_Brownwood_TX_76801_M79819-56917?from=srp-list-card,Brokered by Tootie Kelly Real Estate
"$189,000","3900 1st St,Brownwood, TX 76801","1,949",0.34,https://www.realtor.com/realestateandhomes-detail/3900-1st-St_Brownwood_TX_76801_M84914-93843?from=srp-list-card,Brokered by Full House Realty
"$425,000","7231 Ardee Dr,Brownwood, TX 76801","2,266",1.18,https://www.realtor.com/realestateandhomes-detail/7231-Ardee-Dr_Brownwood_TX_76801_M76986-23956?from=srp-list-card,Brokered by AVOREC
"$199,500","12047 County Road 202,Brownwood, TX 76801","2,025",2,https://www.realtor.com/realestateandhomes-detail/12047-County-Road-202_Brownwood_TX_76801_M93800-13528?from=srp-list-card,Brokered by Tootie Kelly Real Estate
"$36,980","8 County Road 134,Brownwood, TX 76801",0,2.06,https://www.realtor.com/realestateandhomes-detail/8-Country-Club-Dr_Brownwood_TX_76801_M75579-00664?from=srp-list-card,Brokered by eXp Realty LLC
"$263,000","6051 County Road 103,Brownwood, TX 76801","1,797",1,https://www.realtor.com/realestateandhomes-detail/6051-County-Road-103_Brownwood_TX_76801_M73684-84971?from=srp-list-card,Brokered by Ann Jones Real Estate
"$440,000","5300 Highway 279,Brownwood, TX 76801","1,664",22.04,https://www.realtor.com/realestateandhomes-detail/5300-Highway-279_Brownwood_TX_76801_M93594-97835?from=srp-list-card,Brokered by Texas Realty
"$2,850,000","9251 County Road 232,Brownwood, TX 76801","7,984",95.93,https://www.realtor.com/realestateandhomes-detail/9251-County-Road-232_Brownwood_TX_76801_M72444-63915?from=srp-list-card,Brokered by Paloma Property Group
"$495,000","7998 County Road 464,Brownwood, TX 76801","2,512",0.73,https://www.realtor.com/realestateandhomes-detail/7998-County-Road-464_Brownwood_TX_76801_M75313-74406?from=srp-list-card,Brokered by United Country Heart Of Texas Real Estate
"$235,000","8982 County Road 149,Brownwood, TX 76801",584,11.5,https://www.realtor.com/realestateandhomes-detail/8982-County-Road-149_Brownwood_TX_76801_M90293-09087?from=srp-list-card,Brokered by Cross H Realty
"$279,500","2010 4th St,Brownwood, TX 76801","2,088",0.34,https://www.realtor.com/realestateandhomes-detail/2010-4th-St_Brownwood_TX_76801_M82075-64933?from=srp-list-card,Brokered by Stephens Ranch Hand Real Est-Early
"$155,000","1601 Durham Ave,Brownwood, TX 76801","1,148","7,144",https://www.realtor.com/realestateandhomes-detail/1601-Durham-Ave_Brownwood_TX_76801_M79810-62534?from=srp-list-card,Brokered by Turnkey Realty
"$445,000","2700 Hunters Run,Brownwood, TX 76801","2,625",0.31,https://www.realtor.com/realestateandhomes-detail/2700-Hunters-Run_Brownwood_TX_76801_M86328-23356?from=srp-list-card,Brokered by KW Synergy
"$999,998","2150 FM 1176,Brownwood, TX 76801","3,876",48.54,https://www.realtor.com/realestateandhomes-detail/2150-FM-1176_Brownwood_TX_76801_M80349-29889?from=srp-list-card,Brokered by United Country Heart Of Texas Real Estate
"$215,000","1612 4th St,Brownwood, TX 76801","1,407","9,627",https://www.realtor.com/realestateandhomes-detail/1612-4th-St_Brownwood_TX_76801_M94232-10766?from=srp-list-card,Brokered by KW Synergy
"$167,000","1604 3rd St,Brownwood, TX 76801","1,076","8,276",https://www.realtor.com/realestateandhomes-detail/1604-3rd-St_Brownwood_TX_76801_M97235-19321?from=srp-list-card,Brokered by Pecan Valley Real Estate
"$59,500","1609 Waco St,Brownwood, TX 76801","1,236",0.52,https://www.realtor.com/realestateandhomes-detail/1609-Waco-St_Brownwood_TX_76801_M79238-59313?from=srp-list-card,Brokered by VALUE PROPERTIES
